question number,question text,answer,explination,,,,,,,,,,,,,,,,,,,,,,
Question: 1,#NAME?,Answer: B,#NAME?,,,,,,,,,,,,,,,,,,,,,,
Question: 2,"An app builder notices several Accounts converted from Leads are missing information they expected to be caught via Account validation rules.
What could be the source of this issue?

A. The lead settings are unchecked to require validation for converted leads.
B. Account validation rules fail to validate on records converted from a lead.
C. The lead settings are allowing users to intentionally bypass validation rules.
D. Lead validation rules fail to validate on records when they are being converted.",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question: 3,"An App Builder at UVC would like to prevent users from creating new records on an Account related list by overriding standard buttons. Which two should the App Builder consider before overriding standard buttons?
A. Standard buttons can be changed on lookup dialogs, list views, and search result layouts
B. Standard buttons can be overridden with a Visualforce page
C. Standard buttons that are not available for overrides can still be hidden on page layouts D. Standard buttons can be overridden, relocated on the detail page, and relabeled","Answer: B, C",,,,,,,,,,,,,,,,,,,,,,,
Question: 4,"The Service Manager provided the app builder with color code requirements for case age on open cases.
New cases populate a green circle
Day-old cases populate a yellow circle

Three day-old cases populate a red circle
How should an app builder implement this requirement?

A. Formula Field
B. Quick Action
C. Custom Button
D. Lightning Web Component",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 5,"Universal Containers (UC) has a time-sensitive need for a custom component to be built in 4 weeks; UC developers require additional enablement to complete the work and are backlogged by several months.
Which option should an app builder suggest to meet this requirement?

A. Use an AppExchange solution. B. Build a screen flow page.
C. Build a Lightning record page. D. Use a Boit solution",Answer: A,,,,,,,,,,,,,,,,,,,,,,,
Question: 6,"Ursa Major Solar's service department gets requests for several types of services, such as installation, repair, and maintenance. Service managers need to be able to tell when maintenance was last done on on asset to help determine If they are meeting contract agreements, but the last maintenance date can be difficult to determine when there are many work orders related to the asset. They think it would be helpful to have a field auto-populated on the Asset record when a maintenance work
order gets closed.
What tool should an app builder recommend to help meet this requirement?

A. Visualforce
B. Roll-up Summary C. Apex Trigger
D. Flow",Answer: D,,,,,,,,,,,,,,,,,,,,,,,
Question: 7,"At Universal Containers, the Account object has a Master-Detail relationship with an Invoice custom object. The App Builder would like to change to a lookup field, but is not able to do so. What could be causing this?

A. The invoice must have at least one Master-Detail field for reporting. B. The Account record includes Invoice roll-up summary fields.  
C. The Invoice records have existing values in the Account.  
D. The Account is included in the workflow on the Invoice object.
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
Question:8,"Ursa Major Solar has a lookup relationship between a custom Galaxy _c object and a custom Star_c object. An app builder wants to create a roll-up summary field that counts the total number of Star_c records related to each Galaxy__c record.  
How would the current configuration impact the ability to achieve the desired result?

A. The roll-up summary can be achieved by creating a formula field on the Galaxy__c object.  
B. The lookup relationship will need to be converted to a master-detail relationship before a roll-up summary field can be created.  
C. The roll-up summary can be achieved by creating a formula field on the Star__c object.  
D. A roll-up summary field will need to be created on the Galaxy__c object with a field filter that select all related Star_c records
",Answer:B,,,,,,,,,,,,,,,,,,,,,,,
Question: 9,Service agents at Ursa Major Solar want a more condensed case view. Service agents also want to be able to modify the associated contact and account records from the case page layout on the Lightning record page. Which two components should an app builder use to meet these requirements? Choose 2 answers,"Answer:C,D",,,,,,,,,,,,,,,,,,,,,,,
Question: 10,"A sales rep at AW Computing is unable to find what they are looking for while scrolling through their Chatter feed.  
How can a filter be utilized to show only posts from their key account and opportunity records?

A. Create a Chatter group.  
B. Create Chatter bookmarks  
C. Create a Chatter stream.  
D. Create a Chatter notification.
",Answer:C,,,,,,,,,,,,,,,,,,,,,,,
Question: 11,"Universal Containers is setting up salesforce for the first time. Management wants the sales and marketing teams to have different navigation names in the salesforce1 mobile app. Which option is available to an app builder to satisfy the requirement?

A. Create sales and marketing profiles to ensure read access to different objects  
B. Create roles for sales and marketing and assign a custom homepage layout for each role.  
C. Create mobile navigation menus for both the sales and marketing profiles.  
D. Create public groups for sales and marketing and create mobile navigation menus for each group.
",Answer:C,,,,,,,,,,,,,,,,,,,,,,,
Question: 12,"Universal Containers allows all employees to submit reviews for leadership using a custom object called Review. These Reviews should only be visible to the HR department and the employee who submitted the record.  
Which three steps should an app builder take to properly control access to Reviews?

Choose 3 answers

A. Disable Grant Access Using Hierarchies.  
B. Add a Master-Detail(User; field on the Review object.  
C. Create a criteria-based Sharing Rule for the HR Department.  
D. Remove Review Read permission from non-HR Department user Profiles. E. Set organization-wide default to Private.
",Answer:B,,,,,,,,,,,,,,,,,,,,,,,
Question: 13,"Universal Containers allows all employees to submit reviews for leadership using a custom object called Review. These Reviews should only be visible to the HR department and the employee who submitted the record.  
Which three steps should an app builder take to properly control access to Reviews?

Choose 3 answers

A. Disable Grant Access Using Hierarchies.  
B. Add a Master-Detail(User; field on the Review object.  
C. Create a criteria-based Sharing Rule for the HR Department.  
D. Remove Review Read permission from non-HR Department user Profiles. 
E. Set organization-wide default to Private.
","Answer:A,C,E",,,,,,,,,,,,,,,,,,,,,,,
Question: 14,"A recently refreshed partial sandbox at Cloud Kicks has no data In the custom object Shipping. Checking In production, there are two million rows of data in the object.  
What could be the reason the data Is missing?

A. The sandbox was refreshed too early.  
B. The selected objects in the sandbox template. 
C. The Partial sandbox is at capacity.  
D. The sandbox is still populating data.
",Answer:B,,,,,,,,,,,,,,,,,,,,,,,
Question: 15,"UVC's CFO has asked that all deals with more than a 40% discount get automatically sent to the VP of Finance. He will review these deals without the sales rep needing to take action. Which two ways can this be accomplished without building code? Choose two answer


A. Launch a new approval process that has automatic submission enabled as an initial submission action  
B. Create a new process with a submit for approval action to automatically submit deals for approval C. Create a new approval process that has automatic submission enabled in the entry criteria  
D. Launch a flow that uses the submit for approval action to submit deals for approval
","Answer:A,B",,,,,,,,,,,,,,,,,,,,,,,
Question: 16,"An app builder wants to add the option to 'Send New Email' from Leads, Contacts and Accounts for users on mobile.  
What is the benefit of using global actions to accomplish this?

A. Global actions can be accessed anywhere actions are pages, feed and Chatter groups, B. Salesforce Lightning Component Library houses existing global actions prebuild for use. C. The global action's layout automatically clones the default page layout.  
D. Global actions are record-specific and are available when searching that particular
",Answer:B,,,,,,,,,,,,,,,,,,,,,,,
Question: 17,"An app builder has a custom component they want to make available on the utility bar, but the component is unavailable.  
How should the component be tagged?

A. For use on record pages.  
B. For use in Lightning App Builder. C. For use on the utility bar.  
D. For use in App Manager.
",Answer:B,,,,,,,,,,,,,,,,,,,,,,,
Question: 18,"Universal Containers has a custom picklist called Support Level on the Account object. They would like to show the real-time value of Support Level on all case records.  
How should an app builder implement this requirement?

A. Create a formula field on the Case object using the TEXT function.  
B. Create a formula field on the Account object using the ISPICKVAL function. 
C. Create a Process Builder and use a field update on the Case object.
D. Create a roll-up summary field using Support Level on the Account object.
",Answer: c,,,,,,,,,,,,,,,,,,,,,,,
Question: 19,"UC has a requirement that an opportunity should have a field showing the value of its associated account's billing state. This value should not change after the opportunity has been created. Is there a recommended solution to configure this automated behavior?

A. Formula field  
B. Apex  
C. Workflow  
D. Roll-up summary field
",Answer: c,,,,,,,,,,,,,,,,,,,,,,,
Question: 20,"Universal Containers has a new custom object for Invoices that includes an InvoiceNumber field, Before the Invoice object can be used, invoices will be migrated from an external system maintaining their current InvoiceNumber. After the migration, salesforce will be the system of record and each new Invoice created in Salesforce must have a unique InvoiceNumber.  
How should the app builder configure the InvoiceNumber field?

A. Create a Text filed for the original InvoiceNumber and an AutoNumber field for the Salesforce InvoiceNumber.  
B. Create a Text field and mark it as a unique external ID field.  
C. Create a Text field, then change it to AutoNumber after the migration.
D. Create an AutoNumber field and migrate the Invoices
",Answer: B,,,,,,,,,,,,,,,,,,,,,,,
